Time:2026/08/05 16:10:15
Observation Period:20.0s Sampling Interval:1ms
Elapsed Time,CH01,CH02,CH03,CH04,
Unit,[MPa],[MPa],[MPa],[MPa],
0.526,0.00,0.00,0.02,0.11,
0.527,0.08,0.00,0.01,0.00,
0.528,0.00,0.00,0.04,0.06,
0.529,0.00,0.07,0.09,0.03,
0.530,0.00,0.00,0.10,0.06,
0.531,0.00,0.00,0.00,0.13,
0.532,0.07,0.00,0.04,0.00,
0.533,0.03,0.00,0.00,0.07,
0.534,0.11,0.00,0.04,0.00,
0.535,0.02,0.01,0.12,0.08,
0.536,0.10,0.00,0.16,0.00,
0.537,0.05,0.00,0.12,0.06,
0.538,0.09,0.00,0.00,0.00,
0.539,0.00,0.00,0.05,0.07,
0.540,0.00,0.00,0.02,0.07,
0.541,0.01,0.00,0.14,0.15,
0.542,0.01,0.00,0.00,0.13,
0.543,0.00,0.00,0.05,0.00,
0.544,0.00,0.00,0.11,0.00,
0.545,0.00,0.00,0.09,0.00,
0.546,0.00,0.00,0.02,0.12,
0.547,0.00,0.00,0.02,0.00,
0.548,0.03,0.00,0.08,0.08,
0.549,0.04,0.00,0.00,0.02,
0.550,0.00,0.00,0.00,0.00,
0.551,0.00,0.00,0.12,0.09,
0.552,0.10,0.01,0.14,0.17,
0.553,0.03,0.00,0.12,0.00,
0.554,0.00,0.00,0.10,0.04,
0.555,0.00,0.00,0.14,0.10,
0.556,0.00,0.00,0.12,0.05,
0.557,0.00,0.00,0.11,0.00,
0.558,0.00,0.00,0.07,0.00,
0.559,0.02,0.00,0.00,0.00,
0.560,0.06,0.00,0.08,0.03,
0.561,0.00,0.00,0.12,0.00,
0.562,0.00,0.00,0.14,0.00,
0.563,0.00,0.00,0.12,0.00,
0.564,0.00,0.00,0.05,0.00,
0.565,0.00,0.00,0.09,0.00,
0.566,0.06,0.00,0.04,0.05,
0.567,0.04,0.00,0.10,0.00,
0.568,0.03,0.00,0.15,0.00,
0.569,0.02,0.00,0.10,0.00,
0.570,0.00,0.00,0.04,0.03,
0.571,0.00,0.00,0.01,0.00,
0.572,0.00,0.00,0.10,0.05,
0.573,0.00,0.00,0.02,0.02,
0.574,0.00,0.00,0.03,0.00,
0.575,0.00,0.00,0.00,0.03,
0.576,0.10,0.00,0.00,0.00,
0.577,0.00,0.00,0.08,0.06,
0.578,0.00,0.00,0.07,0.00,
0.579,0.00,0.00,0.09,0.07,
0.580,0.00,0.00,0.00,0.06,
0.581,0.07,0.00,0.05,0.13,
0.582,0.06,0.00,0.12,0.00,
0.583,0.06,0.00,0.13,0.00,
0.584,0.00,0.00,0.07,0.00,
0.585,0.00,0.00,0.18,0.00,
0.586,0.00,0.00,0.15,0.01,
0.587,0.00,0.00,0.10,0.09,
0.588,0.00,0.00,0.05,0.00,
0.589,0.00,0.00,0.00,0.00,
0.590,0.00,0.00,0.09,0.07,
0.591,0.01,0.00,0.08,0.00,
0.592,0.00,0.00,0.12,0.02,
0.593,0.00,0.00,0.12,0.04,
0.594,0.00,0.00,0.04,0.05,
0.595,0.00,0.00,0.08,0.04,
0.596,0.00,0.00,0.05,0.04,
0.597,0.00,0.00,0.06,0.11,
0.598,0.00,0.00,0.12,0.06,
0.599,0.00,0.00,0.14,0.04,
0.600,0.00,0.00,0.11,0.00,
0.601,0.00,0.00,0.06,0.00,
0.602,0.06,0.00,0.24,0.09,
0.603,0.00,0.00,0.18,0.08,
0.604,0.02,0.00,0.14,0.08,
0.605,0.03,0.00,0.04,0.00,
0.606,0.00,0.00,0.00,0.03,
0.607,0.00,0.00,0.12,0.18,
0.608,0.00,0.00,0.06,0.09,
0.609,0.00,0.00,0.10,0.02,
0.610,0.00,0.00,0.03,0.14,
0.611,0.00,0.00,0.14,0.00,
0.612,0.00,0.00,0.14,0.00,
0.613,0.00,0.00,0.10,0.09,
0.614,0.03,0.00,0.01,0.09,
0.615,0.00,0.00,0.15,0.11,
0.616,0.02,0.00,0.11,0.10,
0.617,0.00,0.00,0.02,0.12,
0.618,0.04,0.00,0.15,0.09,
0.619,0.00,0.00,0.15,0.10,
0.620,0.00,0.00,0.05,0.04,
0.621,0.00,0.11,0.12,0.00,
0.622,0.00,0.03,0.11,0.12,
0.623,0.00,0.00,0.08,0.00,
0.624,0.02,0.00,0.11,0.09,
0.625,0.07,0.00,0.05,0.05,
0.626,0.00,0.00,0.19,0.11,
0.627,0.00,0.00,0.02,0.11,
0.628,0.00,0.00,0.05,0.11,
0.629,0.00,0.00,0.07,0.13,
0.630,0.00,0.06,0.09,0.15,
0.631,0.00,0.00,0.01,0.05,
0.632,0.00,0.00,0.00,0.08,
0.633,0.00,0.00,0.08,0.14,
0.634,0.00,0.00,0.10,0.12,
0.635,0.00,0.00,0.05,0.11,
0.636,0.00,0.00,0.19,0.11,
0.637,0.02,0.00,0.10,0.08,
0.638,0.00,0.01,0.13,0.17,
0.639,0.00,0.00,0.08,0.04,
0.640,0.06,0.03,0.02,0.03,
0.641,0.01,0.00,0.03,0.17,
0.642,0.00,0.01,0.03,0.00,
0.643,0.06,0.03,0.17,0.00,
0.644,0.01,0.00,0.03,0.02,
